date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:03:13	19122/19122	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%220a7b38b3417d11:0%22	https://www.banesconline.com/mantis/Website/Images/Banesco-iconos%20latin/fonts/banesco-iconos.eot	C:/proyectos/banesco_scrap/banesco/www.banesconline.com/mantis/Website/Images/Banesco-iconos%20latin/fonts/banesco-iconos.eot	(from https://www.banesconline.com/mantis/Website/Images/Banesco-iconos%20latin/StylesheetIcon.css)
22:03:13	19122/19122	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%220a7b38b3417d11:0%22	https://www.banesconline.com/mantis/Website/Images/Banesco-iconos%20latin/fonts/banesco-iconos.eot?	C:/proyectos/banesco_scrap/banesco/www.banesconline.com/mantis/Website/Images/Banesco-iconos%20latin/fonts/banesco-iconosd41d.eot	(from https://www.banesconline.com/mantis/Website/Images/Banesco-iconos%20latin/StylesheetIcon.css)
22:03:14	12088/12088	---M--	200	added ('OK')	font/x-woff	etag:%220a7b38b3417d11:0%22	https://www.banesconline.com/mantis/Website/Images/Banesco-iconos%20latin/fonts/banesco-iconos.woff	C:/proyectos/banesco_scrap/banesco/www.banesconline.com/mantis/Website/Images/Banesco-iconos%20latin/fonts/banesco-iconos.woff	(from https://www.banesconline.com/mantis/Website/Images/Banesco-iconos%20latin/StylesheetIcon.css)
22:03:14	18932/18932	---M--	200	added ('OK')	application/octet-stream	etag:%220a7b38b3417d11:0%22	https://www.banesconline.com/mantis/Website/Images/Banesco-iconos%20latin/fonts/banesco-iconos.ttf	C:/proyectos/banesco_scrap/banesco/www.banesconline.com/mantis/Website/Images/Banesco-iconos%20latin/fonts/banesco-iconos.ttf	(from https://www.banesconline.com/mantis/Website/Images/Banesco-iconos%20latin/StylesheetIcon.css)
22:03:15	45600/45600	---M--	200	added ('OK')	image/svg+xml	etag:%220a7b38b3417d11:0%22	https://www.banesconline.com/mantis/Website/Images/Banesco-iconos%20latin/fonts/banesco-iconos.svg	C:/proyectos/banesco_scrap/banesco/www.banesconline.com/mantis/Website/Images/Banesco-iconos%20latin/fonts/banesco-iconos.svg	(from https://www.banesconline.com/mantis/Website/Images/Banesco-iconos%20latin/StylesheetIcon.css)
22:03:15	600/600	---M--	200	added ('OK')	image/gif	etag:%228ac0464494acd61:0%22	https://www.banesconline.com/mantis/Website/Images/int_up.gif	C:/proyectos/banesco_scrap/banesco/www.banesconline.com/mantis/Website/Images/int_up.gif	(from https://www.banesconline.com/mantis/Website/App_Themes/TemaBanesco/TemaBanesco.css)
22:03:15	282/282	---M--	200	added ('OK')	image/png	etag:%22de4d424894acd61:0%22	https://www.banesconline.com/mantis/Website/Images/arrowmenu.png	C:/proyectos/banesco_scrap/banesco/www.banesconline.com/mantis/Website/Images/arrowmenu.png	(from https://www.banesconline.com/mantis/Website/App_Themes/TemaBanesco/TemaBanesco.css)
22:03:16	293/293	---M--	200	added ('OK')	image/png	etag:%221dd6414894acd61:0%22	https://www.banesconline.com/mantis/Website/Images/arrowExpanded.png	C:/proyectos/banesco_scrap/banesco/www.banesconline.com/mantis/Website/Images/arrowExpanded.png	(from https://www.banesconline.com/mantis/Website/App_Themes/TemaBanesco/TemaBanesco.css)
22:03:16	235/235	---M--	200	added ('OK')	image/png	etag:%220621ab28ce5d01:0%22	https://www.banesconline.com/mantis/Website/Images/arrowmenuSelect.png	C:/proyectos/banesco_scrap/banesco/www.banesconline.com/mantis/Website/Images/arrowmenuSelect.png	(from https://www.banesconline.com/mantis/Website/App_Themes/TemaBanesco/TemaBanesco.css)
22:03:17	294/294	---M--	200	added ('OK')	image/png	etag:%223812424894acd61:0%22	https://www.banesconline.com/mantis/Website/Images/arrowmenu_hover.png	C:/proyectos/banesco_scrap/banesco/www.banesconline.com/mantis/Website/Images/arrowmenu_hover.png	(from https://www.banesconline.com/mantis/Website/App_Themes/TemaBanesco/TemaBanesco.css)
